filename,lap_var,fft_hf_ratio,noise_est,local_var
000206.npy,0.07134993,0.998808,0.01847380,0.14860281
000207.npy,0.06342487,0.998945,0.01515585,0.14357223
000208.npy,0.00506773,0.999875,0.01407386,0.03904511
000209.npy,0.00309828,0.999923,0.01103258,0.03307032
000210.npy,0.00332650,0.999912,0.01137548,0.03423912
000212.npy,0.00648879,0.999906,0.00402442,0.06388613
000213.npy,0.00029028,0.999983,0.00300558,0.02867644
000214.npy,0.00043617,0.999985,0.00416392,0.02600715
000215.npy,0.00030722,0.999986,0.00309341,0.02472857
000216.npy,0.00763046,0.999530,0.00848574,0.06612974
000217.npy,0.00483821,0.999949,0.00960282,0.06478664
000218.npy,0.00405032,0.999976,0.00822033,0.05205176
000219.npy,0.00387618,0.999978,0.00806780,0.04978707
000220.npy,0.00375018,0.999736,0.01273970,0.02965430
000221.npy,0.03348446,0.999681,0.01244757,0.12563941
000222.npy,0.02817804,0.999686,0.01182762,0.11238595
000223.npy,0.05289597,0.999603,0.01211076,0.17260081
000224.npy,0.03921804,0.999059,0.03326226,0.07588341
000225.npy,0.03248811,0.996045,0.03691739,0.05257449
000226.npy,0.04621426,0.996133,0.04479650,0.06174685
000228.npy,0.20095078,0.996547,0.04295880,0.20864546
000229.npy,0.06016032,0.999669,0.03320755,0.17434371
000230.npy,0.05772784,0.999683,0.03274736,0.16907701
000231.npy,0.05035229,0.999690,0.03260163,0.16350405
000232.npy,0.07755796,0.995563,0.01967248,0.10570882
000233.npy,0.05443278,0.996806,0.01956070,0.08758982
000234.npy,0.05102809,0.996966,0.01944267,0.08470105
000235.npy,0.05257128,0.996892,0.01998284,0.08947855
000236.npy,0.00741701,0.999926,0.00727384,0.07487674
000237.npy,0.00836641,0.999924,0.01031883,0.10482260
000238.npy,0.00646719,0.999945,0.00894540,0.09837437
000239.npy,0.00538795,0.999961,0.00817958,0.09737656
000240.npy,0.04402938,0.999026,0.00650226,0.10201481
000241.npy,0.00023295,0.999998,0.00243358,0.02157046
000242.npy,0.00025789,0.999998,0.00245353,0.02622104
000243.npy,0.00023244,0.999998,0.00238348,0.02157612
000244.npy,0.09529848,0.998905,0.02250396,0.17349286
000245.npy,0.01750730,0.999870,0.00592369,0.02531667
000246.npy,0.02723829,0.999771,0.00576241,0.03727873
000248.npy,0.01588391,0.999736,0.00574156,0.05591484
000249.npy,0.06070171,0.995672,0.01725337,0.10151019
000250.npy,0.08111687,0.995682,0.02749563,0.11982208
000252.npy,0.00443499,0.999994,0.00451297,0.06597507
000253.npy,0.00432450,0.999994,0.00315930,0.03005620
000254.npy,0.00524040,0.999991,0.00364430,0.05110873
000255.npy,0.00430101,0.999995,0.00312961,0.02794333
000256.npy,0.02821962,0.999920,0.00315288,0.11488712
000257.npy,0.08290910,0.999092,0.02100774,0.17921786
000258.npy,0.08293672,0.999092,0.02104049,0.17928141
000259.npy,0.08378593,0.998878,0.02087077,0.17761473
000260.npy,0.02691485,0.999085,0.01497838,0.08259655
000262.npy,0.00980382,0.999921,0.00551954,0.06738199
000263.npy,0.00900806,0.999922,0.00534795,0.06371664
000265.npy,0.00298341,0.999916,0.00671375,0.03451203
000266.npy,0.00300149,0.999916,0.00657278,0.03473543
000267.npy,0.00300032,0.999922,0.00645048,0.03778939
000268.npy,0.00089764,0.999990,0.00438542,0.03584358
000269.npy,0.02999140,0.993379,0.00493830,0.05010563
000272.npy,0.06983896,0.999849,0.00930263,0.19134296
000273.npy,0.05335498,0.998131,0.05049183,0.05711391
000274.npy,0.05633381,0.998080,0.05161182,0.05859411
000276.npy,0.00026095,0.999982,0.00305253,0.03002918
000278.npy,0.00069833,0.999957,0.00412307,0.06313349
000280.npy,0.05012959,0.999751,0.01095201,0.15816560
000281.npy,0.01990435,0.999890,0.00558137,0.10315552
000282.npy,0.01560247,0.999912,0.00523854,0.08405319
000283.npy,0.01898236,0.999877,0.00548643,0.10074720
000284.npy,0.04162967,0.999596,0.01807350,0.12515666
000285.npy,0.00803675,0.999460,0.01188866,0.03995876
000288.npy,0.00901465,0.999938,0.00756397,0.10106380
000289.npy,0.02350881,0.999763,0.01706063,0.08826040
000291.npy,0.03978273,0.999438,0.02287158,0.10324606
000292.npy,0.00548670,0.999715,0.00431652,0.04734342
000293.npy,0.03858085,0.998987,0.04175481,0.05246756
000296.npy,0.03263452,0.999437,0.01364812,0.09684167
000297.npy,0.02980199,0.999263,0.01052303,0.09073690
000298.npy,0.02812624,0.999294,0.01065199,0.08729085
000299.npy,0.02973092,0.999270,0.01040821,0.09146166
000300.npy,0.04603417,0.951402,0.04884596,0.04777963
000302.npy,0.00708626,0.999673,0.00262128,0.06174300
000303.npy,0.00666624,0.999663,0.00238936,0.05638744
000304.npy,0.00855767,0.999868,0.01015909,0.09236965
000305.npy,0.00551258,0.999927,0.01197740,0.06929642
000306.npy,0.00556499,0.999932,0.01186768,0.07826914
000307.npy,0.00556551,0.999932,0.01184957,0.07829826
000308.npy,0.00033102,0.999994,0.00328694,0.05340131
000309.npy,0.00787683,0.999949,0.01044953,0.07220908
000310.npy,0.00779720,0.999949,0.01039561,0.07184009
000311.npy,0.00775208,0.999950,0.01033412,0.07174741
000312.npy,0.04152774,0.999500,0.03005149,0.15324779
000313.npy,0.00163678,0.999963,0.00827026,0.02059059
000315.npy,0.00159598,0.999971,0.00803686,0.02245040
000316.npy,0.00289574,0.999952,0.00334163,0.00868439
000317.npy,0.02780397,0.999846,0.00484668,0.06549207
000318.npy,0.02935354,0.999783,0.00561058,0.07567162
000319.npy,0.03294397,0.999770,0.00631689,0.08310602
000321.npy,0.00754070,0.999897,0.00707673,0.07424159
000322.npy,0.00899203,0.999905,0.00786295,0.08030433
000324.npy,0.02187573,0.999901,0.00590915,0.11250944
000326.npy,0.00595165,0.999727,0.00400127,0.05137789
000327.npy,0.00599003,0.999721,0.00405409,0.05153840
000328.npy,0.00701864,0.999846,0.01830955,0.03706586
000329.npy,0.00914674,0.999800,0.01065918,0.07059754
000330.npy,0.00909662,0.999802,0.01058455,0.07040690
000331.npy,0.00878617,0.999786,0.01040988,0.06808704
000332.npy,0.00091933,0.999977,0.00328844,0.06873729
000334.npy,0.01564041,0.999726,0.01242382,0.09081680
000335.npy,0.01573004,0.999726,0.01241410,0.09108693
000336.npy,0.00177055,0.999984,0.00455334,0.12113313
